,Mun,CodIBGE,Populacao,Delitos Relacionados à Armas e Munições,Delitos relacionados à Corrupção,Estelionato,Extorsão,Extorsão Mediante Sequestro,Furto,Furto de Veículos,Homicídio Doloso,Latrocínio,Posse de Entorpecentes,Roubo,Roubo de Veículos,Tráfico de Entorpecentes
230,Lagoa Vermelha,4311304,28468,31,2,38,0,0,615,27,,0,33,54,9,17
231,Lagoão,4311254,5747,7,0,2,0,0,29,3,,0,1,0,0,0
232,Lajeado,4311403,81507,66,0,155,1,0,1249,173,,1,71,353,80,62
233,Lajeado do Bugre,4311429,2378,8,0,1,0,0,9,1,,0,1,1,0,0
234,Lavras do Sul,4311502,7374,1,0,2,0,0,48,1,,0,3,1,0,1
235,Liberato Salzano,4311601,5564,4,0,0,0,0,34,2,,0,0,1,1,0
236,Lindolfo Collor,4311627,5693,1,0,1,0,0,21,1,,0,3,4,2,2
237,Linha Nova,4311643,1775,0,0,0,0,0,6,0,,0,0,0,0,0
238,Maçambará,4311718,4406,4,0,0,0,0,51,1,,0,0,1,0,0
239,Machadinho,4311700,5778,2,1,5,0,0,53,2,,0,1,1,0,0
240,Mampituba,4311734,3043,0,0,0,0,0,19,0,,0,0,3,0,0
241,Manoel Viana,4311759,6485,5,1,3,0,0,60,3,,0,0,1,0,3
242,Maquiné,4311775,6809,4,0,4,0,0,74,4,,0,2,16,4,2
243,Maratá,4311791,2643,1,0,1,0,0,9,0,,0,0,2,0,1
244,Marau,4311809,41090,34,0,79,0,0,531,50,,0,31,58,24,10
245,Marcelino Ramos,4311908,4938,0,0,5,0,0,48,1,,0,0,1,0,1
246,Mariana Pimentel,4311981,4017,3,0,1,0,0,47,0,,0,0,5,2,0
247,Mariano Moro,4312005,2086,5,0,0,0,0,25,0,,0,1,0,0,2
248,Marques de Souza,4312054,4313,2,0,3,0,0,28,1,,0,1,2,0,0
249,Mata,4312104,4665,3,0,6,0,0,75,3,,0,1,5,2,2
250,Mato Castelhano,4312138,2609,5,0,2,0,0,47,1,,0,0,9,3,0
251,Mato Leitão,4312153,4485,2,0,0,0,0,26,4,,0,0,9,1,0
252,Mato Queimado,4312179,1901,0,0,0,0,0,7,0,,0,0,0,0,0
253,Maximiliano de Almeida,4312203,4509,0,0,7,0,0,31,3,,0,1,2,0,1
254,Minas do Leão,4312252,7804,3,0,1,0,0,162,4,,0,11,21,1,1
255,Miraguaí,4312302,5097,5,0,1,0,0,85,22,,0,1,8,0,0
256,Montauri,4312351,1612,0,0,0,0,0,4,0,,0,0,3,0,0
257,Monte Alegre dos Campos,4312377,3225,3,0,1,0,0,32,1,,0,1,0,0,0
258,Monte Belo do Sul,4312385,2704,4,0,3,0,0,31,1,,0,0,7,2,0
259,Montenegro,4312401,65094,38,0,62,1,0,865,60,,1,144,194,24,102
260,Mormaço,4312427,2857,1,0,2,0,0,29,3,,0,1,1,2,0
261,Morrinhos do Sul,4312443,3300,0,0,2,0,0,14,0,,0,0,3,0,1
262,Morro Redondo,4312450,6456,3,0,12,0,0,63,2,,0,2,3,0,0
263,Morro Reuter,4312476,6166,1,0,7,0,0,41,3,,0,5,6,2,0
264,Mostardas,4312500,12583,10,0,20,1,0,246,6,,0,15,18,2,17
265,Muçum,4312609,5139,6,1,5,0,0,88,3,,0,6,8,2,1
266,Muitos Capões,4312617,3057,0,0,2,0,0,61,1,,0,1,4,2,0
267,Muliterno,4312625,1987,8,0,1,0,0,28,1,,0,0,2,0,0
268,Não-Me-Toque,4312658,17655,14,0,23,0,0,240,22,,0,5,23,2,8
269,Nicolau Vergueiro,4312674,1848,4,0,1,0,0,10,0,,0,0,1,9,0
270,Nonoai,4312708,12123,16,0,12,0,0,155,15,,0,10,13,3,2
271,Nova Alvorada,4312757,3413,6,0,5,1,0,12,0,,0,0,5,2,1
272,Nova Araçá,4312807,4990,2,0,9,1,0,29,2,,0,0,2,3,1
273,Nova Bassano,4312906,8648,4,0,9,0,0,101,10,,0,10,12,4,6
274,Nova Boa Vista,4312955,2138,1,0,0,0,0,6,1,,0,0,0,0,0
275,Nova Bréscia,4313003,3332,6,0,0,0,0,23,3,,0,1,2,0,0
276,Nova Candelária,4313011,2904,4,0,1,0,0,7,1,,0,0,0,0,0
277,Nova Esperança do Sul,4313037,4995,5,0,2,0,0,42,1,,0,7,3,0,3
278,Nova Hartz,4313060,19172,4,0,17,0,0,175,15,,0,29,43,6,12
279,Nova Pádua,4313086,2519,0,0,1,0,0,19,1,,0,0,1,0,0
280,Nova Palma,4313102,6140,2,0,11,0,0,69,0,,0,0,1,1,0
281,Nova Petrópolis,4313201,22052,2,2,26,1,0,186,7,,1,33,8,2,7
282,Nova Prata,4313300,25382,14,11,35,0,0,244,34,,0,54,42,7,25
283,Nova Ramada,4313334,2475,3,0,2,0,0,17,2,,0,0,0,0,0
284,Nova Roma do Sul,4313359,3603,1,0,4,0,0,21,0,,0,2,3,0,0
285,Nova Santa Rita,4313375,25633,12,1,23,0,0,408,46,,1,19,111,32,9
286,Novo Barreiro,4313490,4065,2,0,3,0,0,28,4,,0,0,5,0,1
287,Novo Cabrais,4313391,3588,2,0,1,0,0,25,3,,0,1,2,1,0
288,Novo Hamburgo,4313409,243260,185,6,675,19,2,3454,873,,2,311,2768,911,230
289,Novo Machado,4313425,3389,1,0,0,0,0,24,0,,0,0,0,0,1
290,Novo Tiradentes,4313441,2185,0,0,0,0,0,8,1,,0,0,0,0,0
291,Novo Xingu,4313466,1912,0,0,1,0,0,5,0,,0,0,1,0,0
292,Osório,4313508,45343,26,2,66,2,0,833,53,,0,88,165,18,70
293,Paim Filho,4313607,4021,8,0,0,0,0,30,1,,0,1,3,0,0
294,Palmares do Sul,4313656,11697,5,0,20,3,0,289,6,,1,5,48,14,12
295,Palmeira das Missões,4313706,35549,31,0,20,0,0,398,34,,0,33,53,5,15
296,Palmitinho,4313805,7309,5,0,4,1,0,59,8,,0,0,4,0,0
297,Panambi,4313904,42466,19,1,51,1,0,354,28,,0,15,22,4,5
298,Pantano Grande,4313953,9927,7,0,3,0,0,140,5,,0,15,26,1,5
299,Paraí,4314001,7405,3,0,5,1,0,66,6,,0,4,8,6,0
300,Paraíso do Sul,4314027,7573,4,0,1,1,0,33,2,,0,2,4,1,3
301,Pareci Novo,4314035,4068,5,0,6,0,0,48,3,,0,2,6,5,3
302,Parobé,4314050,54114,25,2,52,8,3,528,126,,0,45,300,68,17
303,Passa Sete,4314068,4654,7,0,2,0,0,64,6,,0,0,1,1,3
304,Passo do Sobrado,4314076,6150,6,0,3,1,0,78,3,,0,0,6,5,0
305,Passo Fundo,4314100,199446,185,3,263,7,0,2296,597,,6,165,1114,188,175
306,Paulo Bento,4314134,2062,2,0,2,0,0,28,2,,0,0,0,0,0
307,Paverama,4314159,8660,7,0,4,1,0,101,2,,0,1,20,3,2
308,Pedras Altas,4314175,2035,2,0,0,0,0,34,1,,0,0,0,0,0
309,Pedro Osório,4314209,8191,4,0,9,0,0,190,3,,0,9,22,1,1
310,Pejuçara,4314308,3880,2,0,4,0,0,63,1,,0,0,5,1,1
311,Pelotas,4314407,343148,233,2,498,11,0,3904,434,,10,235,3734,248,286
312,Picada Café,4314423,5428,1,0,0,0,0,28,1,,0,5,6,1,1
313,Pinhal,4314456,2509,2,0,3,0,0,67,7,,0,0,5,1,2
314,Pinhal da Serra,4314464,2164,3,0,1,0,0,28,0,,0,0,0,0,0
315,Pinhal Grande,4314472,4257,3,0,4,0,0,38,2,,0,0,3,2,0
316,Pinheirinho do Vale,4314498,4513,5,0,1,0,0,12,0,,0,0,2,0,0
317,Pinheiro Machado,4314506,12112,9,0,17,0,0,217,4,,0,21,13,0,6
318,Pinto Bandeira,4314548,2959,0,0,0,0,0,22,1,,0,0,4,1,0
319,Pirapó,4314555,2622,4,0,0,0,0,36,0,,0,0,0,0,0
320,Piratini,4314605,19182,9,0,16,1,0,291,19,,0,8,22,2,6
321,Planalto,4314704,10476,15,0,5,0,0,113,6,,0,5,9,2,0
322,Poço das Antas,4314753,2076,0,0,0,0,0,17,0,,0,0,3,0,0
323,Pontão,4314779,3887,4,0,1,0,0,46,4,,0,0,7,3,0
324,Ponte Preta,4314787,1648,1,1,0,0,0,3,0,,0,0,1,0,0
325,Portão,4314803,34087,25,1,52,2,0,378,54,,2,32,122,59,16
326,Porto Alegre,4314902,1479277,1017,62,3980,81,3,29611,3653,,40,706,34825,8129,2062
327,Porto Lucena,4315008,5141,7,0,6,0,0,39,1,,0,1,0,0,1
